公开(公告)号,标题,申请日,公开(公告)日,当前申请(专利权)人,发明人,法律状态/事件
CN113888023A,一种基于多源地质灾害危险性评价的铁路减灾选线方法,2021-10-25,2022-01-04,中铁二院工程集团有限责任公司,周航 | 王朋 | 宋章 | 张广泽 | 陈仕阔 | 张雨露 | 邹远华 | 赵晓彦 | 杜宇本 | 袁传保 | 李东 | 常兴旺 | 徐正宣 | 冯涛 | 王彦东 | 邓宏科 | 陈伟 | 唐伟华 | 陶玉敬 | 欧阳吉 | 任金龙,实质审查
CN110111023A,一种公益性铁路的判识方法,2019-05-17,2019-08-09,中铁二院工程集团有限责任公司,罗圆 | 朱颖 | 张小强 | 马擎 | 李广路 | 余浩伟,驳回
CN110133726A,铁路隧道航空电磁法勘探测线布置方法,2019-04-25,2019-08-16,中铁二院工程集团有限责任公司,李坚 | 张雨露 | 张广泽 | 寇川 | 雷旭友 | 魏栋华 | 曹云勇 | 尹小康 | 蒋良文 | 王科 | 徐正宣 | 吴俊猛 | 杨英 | 赵思为 | 付开隆 | 赵平 | 李建强 | 杜宇本 | 刘康 | 甄大勇 | 叶建超 | 马文德,实质审查
CN211037380U,一种高寒地区装配式主被动结合节能墙体,2019-05-06,2020-07-17,中铁建设集团有限公司,王宽 | 周大兴 | 方宏伟 | 武利平 | 郭伟 | 孙玉龙 | 温恺 | 史乐贤,授权 | 一案双申
CN110135739A,一种基于模糊混合决策的铁路公益性综合评价方法,2019-05-17,2019-08-16,中铁二院工程集团有限责任公司,朱颖 | 罗圆 | 张小强 | 马擎 | 李广路 | 余浩伟,驳回
CN113324530A,高海拔大高差广区域铁路高精度空间基准维持方法,2021-04-21,2021-08-31,中铁第一勘察设计院集团有限公司,武瑞宏 | 许双安 | 冯威 | 周东卫 | 王建红 | 龚江峰 | 田社权 | 汤伟尧 | 袁永信,实质审查
CN110231659A,埋深变化大的铁路隧道航空电磁探测方法,2019-06-03,2019-09-13,中铁二院工程集团有限责任公司,曹云勇 | 李坚 | 张雨露 | 张广泽 | 寇川 | 胡清波 | 许胜 | 徐正宣 | 尹小康 | 雷旭友 | 魏栋华 | 甄大勇 | 吴俊猛 | 杨英 | 付开隆 | 赵思为 | 叶建超 | 刘康 | 郭君 | 张家德 | 刘钰泉 | 章丹贵 | 马文德 | 吴正刚 | 赵文龙 | 周超 | 张硕 | 王鹏 | 张羽军 | 冯涛 | 宋章 | 刘建国 | 王哲威 | 欧阳吉 | 王彦东,授权
CN110231659B,埋深变化大的铁路隧道航空电磁探测方法,2019-06-03,2021-04-30,中铁二院工程集团有限责任公司,曹云勇 | 李坚 | 张雨露 | 张广泽 | 寇川 | 胡清波 | 许胜 | 徐正宣 | 尹小康 | 雷旭友 | 魏栋华 | 甄大勇 | 吴俊猛 | 杨英 | 付开隆 | 赵思为 | 叶建超 | 刘康 | 郭君 | 张家德 | 刘钰泉 | 章丹贵 | 马文德 | 吴正刚 | 赵文龙 | 周超 | 张硕 | 王鹏 | 张羽军 | 冯涛 | 宋章 | 刘建国 | 王哲威 | 欧阳吉 | 王彦东,授权
CN112765809A,基于高地应力隧道典型灾害的铁路线路比选方法和装置,2021-01-14,2021-05-07,成都理工大学,李天斌 | 张广泽 | 马俊杰 | 张雨露 | 曾鹏 | 丁浩江 | 冯君 | 张小林,实质审查
CN114186641A,一种基于深度学习的滑坡易发性评价方法,2021-12-16,2022-03-15,长安大学,丁明涛 | 李振洪 | 黄武彪,实质审查
CN210348495U,斜坡冻土区装配式自通风路基结构,2019-05-09,2020-04-17,中铁二院工程集团有限责任公司,杨泉 | 蒋尧 | 徐骏 | 高柏松 | 郭海强 | 王占盛 | 李炼 | 罗一农,授权
